@relation all_predicted

@attribute ﻿latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute satellite_date {4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/12/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/19/2020,4/20/2020,4/22/2020,4/23/2020,4/24/2020,5/3/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020}
@attribute confidence {nominal,high,low,82,89,72,61,80,100,90,49,86,75,91,36,77,35,55,87,62,74,93,76,95,78,79,58,54,71,40,83,50,53,68,46,64,60,85,73,70,37,65,88,51,84,92,56,20,66,57,2.7}
@attribute bright_t31 numeric
@attribute frp numeric

@data
20.347599,99.48663,335,0.51,0.49,4/3/2020,nominal,306.6,5.4
20.34625,99.48933,333.9,0.5,0.49,4/3/2020,nominal,307.9,4.5
20.25268,99.72672,346.5,0.52,0.5,4/3/2020,nominal,314.7,11
20.24323,99.52409,351.9,0.51,0.49,4/3/2020,nominal,311.7,36.4
20.24077,99.53129,340.7,0.51,0.49,4/3/2020,nominal,304.9,21.3
20.24021,99.52614,350.3,0.51,0.49,4/3/2020,nominal,313.9,21.3
20.23927,99.52953,354.7,0.51,0.49,4/3/2020,nominal,309.6,11
20.14405,99.72532,309.7,0.56,0.68,4/3/2020,nominal,294.8,4.3
20.14362,99.73029,317.5,0.56,0.68,4/3/2020,nominal,296.1,4.3
20.05408,99.8386,311.3,0.54,0.68,4/3/2020,nominal,295.9,2.7
19.84101,100.27534,314.3,0.67,0.74,4/3/2020,nominal,294.5,6.4
19.8389,99.43842,367,0.49,0.49,4/3/2020,high,311.7,17.3
19.72219,99.53423,335.5,0.5,0.49,4/3/2020,low,310.1,5.6
19.7177,99.53484,350.2,0.5,0.49,4/3/2020,nominal,314.5,5.6
19.7155,99.53621,367,0.5,0.49,4/3/2020,high,317.5,11.5
